hash_key,excel_formula,currency_code,data_item_id,data_value_type,detail_id,entity_id,scenario_id,period_type,end_of_period_value,reported_date_value,exchange_rate_type,standardized_data_id,value,value_string,value_numeric
9e802c8a08b041f4b8d9d8074f18818b,"=iGet(""Headspin"",""Actual"",""Total Revenue"",""2019-06-30"",""1Q"",""2019-03-31"",,,,""USD"",""Spot"")",USD,5000,Numeric,0,437,1,FiscalQuarter,2019-06-30T00:00:00.000000Z,2019-03-31T00:00:00.000000Z,Spot,1,11465104.7,11465104.7,11465104.7
1f3355fe6e1372ea89e28909fd253a4e,"=iGet(""HealthIQ (Hi.Q)*"",""Actual"",""Total Revenue"",""2020-12-31"",""1Q"",""2020-12-31"",,,,""USD"",""Spot"")",USD,5000,Numeric,0,438,1,FiscalQuarter,2020-12-31T00:00:00.000000Z,2020-12-31T00:00:00.000000Z,Spot,1,25723560.57,25723560.57,25723560.57
02f87976f4cad427f8529b8b3911ec6d,"=iGet(""HealthIQ (Hi.Q)*"",""Actual"",""Total Revenue"",""2020-09-30"",""1Q"",""2020-09-30"",,,,""USD"",""Spot"")",USD,5000,Numeric,0,438,1,FiscalQuarter,2020-09-30T00:00:00.000000Z,2020-09-30T00:00:00.000000Z,Spot,1,12220296.4,12220296.4,12220296.4
e5eae128ec3de37d685c341eb45360a0,"=iGet(""HealthIQ (Hi.Q)*"",""Actual"",""Total Revenue"",""2020-06-30"",""1Q"",""2020-06-30"",,,,""USD"",""Spot"")",USD,5000,Numeric,0,438,1,FiscalQuarter,2020-06-30T00:00:00.000000Z,2020-06-30T00:00:00.000000Z,Spot,1,11621662.55,11621662.55,11621662.55
1715314390d6d76f2213fa79608ef146,"=iGet(""HealthIQ (Hi.Q)*"",""Actual"",""Total Revenue"",""2020-03-31"",""1Q"",""2020-03-31"",,,,""USD"",""Spot"")",USD,5000,Numeric,0,438,1,FiscalQuarter,2020-03-31T00:00:00.000000Z,2020-03-31T00:00:00.000000Z,Spot,1,12777875.53,12777875.53,12777875.53
ab95056cd2f1846dee8b74a742121e80,"=iGet(""HealthIQ (Hi.Q)*"",""Actual"",""Total Revenue"",""2019-12-31"",""1Q"",""2019-12-31"",,,,""USD"",""Spot"")",USD,5000,Numeric,0,438,1,FiscalQuarter,2019-12-31T00:00:00.000000Z,2019-12-31T00:00:00.000000Z,Spot,1,13279350.22,13279350.22,13279350.22
9fa30ef09315dae1462639d4788e5d04,"=iGet(""HealthIQ (Hi.Q)*"",""Actual"",""Total Revenue"",""2019-09-30"",""1Q"",""2019-09-30"",,,,""USD"",""Spot"")",USD,5000,Numeric,0,438,1,FiscalQuarter,2019-09-30T00:00:00.000000Z,2019-09-30T00:00:00.000000Z,Spot,1,12917283.26,12917283.26,12917283.26
aa69ed444fd04511e6654ff82f94a0cf,"=iGet(""Hippo Analytics*"",""Actual"",""Total Revenue"",""2020-09-30"",""1Q"",""2020-09-30"",,,,""USD"",""Spot"")",USD,5000,Numeric,0,439,1,FiscalQuarter,2020-09-30T00:00:00.000000Z,2020-09-30T00:00:00.000000Z,Spot,1,13605000.0,13605000.0,13605000.0
ea03ecec54a499b2d1fcc5a9e444a9f5,"=iGet(""Hippo Analytics*"",""Actual"",""Total Revenue"",""2020-06-30"",""1Q"",""2020-09-30"",,,,""USD"",""Spot"")",USD,5000,Numeric,0,439,1,FiscalQuarter,2020-06-30T00:00:00.000000Z,2020-09-30T00:00:00.000000Z,Spot,1,14391000.0,14391000.0,14391000.0
23370f5d256bd85a6c8485696c37ce67,"=iGet(""Hippo Analytics*"",""Actual"",""Total Revenue"",""2020-03-31"",""1Q"",""2020-09-30"",,,,""USD"",""Spot"")",USD,5000,Numeric,0,439,1,FiscalQuarter,2020-03-31T00:00:00.000000Z,2020-09-30T00:00:00.000000Z,Spot,1,8752000.0,8752000.0,8752000.0
